Constituency ID,Constituency_Name,Winning_Margin,Bharatiya Janata Party,Indian National Congress,All India United Democratic Front,Asom Gana Parishad,Independent,Assam Jatiya Parishad,"United People’s Party, Liberal",Bodoland Peoples Front,None of the Above,Communist Party of India  (Marxist),All India Trinamool Congress,Voters Party  International,Communist Party of India,Communist Party of India  (Marxist-Leninist)  (Liberation),Janata Dal  (United),Bharatiya Gana Parishad,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),National People's Party,Autonomous State Demand Committee,Rashtriya Janata Dal,Political Justice Party,Lok Jan Shakti Party,Nationalist Congress Party,The National Road Map Party of India,Rashtriya Lok Samta Party,Rashtriya Ulama Council,Republican Party of India (Athawale),Revolutionary Communist Party of India  (Rasik Bhatt),Asom Songrami Mancha(Asom),All India Forward Bloc,Republican Party of India (A),All India Minorities Front,Janata Party,Bhartiya Tribal Party,Asom Jana Morcha,Bahujan Maha Party,Lok Raksha Party,Republican Party of India,Swarna Bharat Party,Samajwadi Party,Hindusthan Nirman Dal,National Republican Congress,Bhartiya Rashtrawadi Party
,,681197,6384538,5703341,1786551,1519777,1139423,702992,651744,651073,219578,160758,36008,33111,27290,26403,21970,21869,18805,18087,15887,13321,8425,7979,7724,6726,6123,5023,4096,3453,3303,3000,2304,2201,1562,1536,1488,1290,1137,591,582,561,492,308,170
1,RATABARI,36221,84711,48490,,,628,,,,1200,,,,,,,,708,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PATHARKANDI,4467,74846,70379,,543,1020,263,,,1288,,,,,,,,101,,,,,,,,,174,,,,84,,,,,,,,188,,,,,
3,KARIMGANJ NORTH,8324,52674,60998,,,28044,,,,1180,,,,,,,,165,,,,,,,,,314,,,,858,,,,,,,,,,92,,,
4,KARIMGANJ SOUTH,32487,,88909,,56422,1167,,,,985,,,,,,,,,,,,,,,,704,,,,,,,,,,,,,,,,,,
5,BADARPUR,23948,50504,,74452,,566,2123,,,1706,,,,,,,,,,,,,,,,,359,,,,,,,,,,,,,,,,,
6,HAILAKANDI,23754,47303,,71057,,6583,,,,1063,,389,,,,,226,131,,,,,,,,,,,,,,,,,,,,,,,,,,
7,KATLICHERRA,12971,66798,2931,79769,,906,,,,745,,,,,,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ALGAPUR,17604,49181,,66785,7549,2343,,,,442,,,,,,,,,,,,,,,,,,,,,552,,,,,,,,,,,,,
9,SILCHAR,37578,98558,60980,,,11254,,,,1398,,,,,,,155,755,,,,,,,,,,,,,,181,,,,,,,,,,492,,
10,SONAI,19654,52283,,71937,,14500,,,,1231,,2796,,,,,,244,,,,,,,,,,,,,,,,,,,,,,,469,,,
11,DHOLAI,20392,82568,62176,,,750,381,,,1561,,,,,,,,1834,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UDHARBOND,2685,61745,59060,,,5796,811,,,1494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,LAKHIPUR,12700,55341,42641,,,20503,2991,,,1536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BARKHOLA,7031,57402,64433,,,475,776,,,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
