Constituency ID,Constituency_Name,Winning_Margin,Candidate - Bharatiya Janata Party,Candidate - Indian National Congress,Candidate - All India United Democratic Front,Candidate - Asom Gana Parishad,Candidate - Independent,Candidate - Assam Jatiya Parishad,"Candidate - United People’s Party, Liberal",Candidate - Bodoland Peoples Front,Candidate - None of the Above,Candidate - Communist Party of India  (Marxist),Candidate - All India Trinamool Congress,Candidate - Voters Party  International,Candidate - Communist Party of India,Candidate - Communist Party of India  (Marxist-Leninist)  (Liberation),Candidate - Janata Dal  (United),Candidate - Bharatiya Gana Parishad,Candidate - SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Candidate - National People's Party,Candidate - Autonomous State Demand Committee,Candidate - Rashtriya Janata Dal,Candidate - Political Justice Party,Candidate - Lok Jan Shakti Party,Candidate - Nationalist Congress Party,Candidate - The National Road Map Party of India,Candidate - Rashtriya Lok Samta Party,Candidate - Rashtriya Ulama Council,Candidate - Republican Party of India (Athawale),Candidate - Revolutionary Communist Party of India  (Rasik Bhatt),Candidate - Asom Songrami Mancha(Asom),Candidate - All India Forward Bloc,Candidate - Republican Party of India (A),Candidate - All India Minorities Front,Candidate - Janata Party,Candidate - Bhartiya Tribal Party,Candidate - Asom Jana Morcha,Candidate - Bahujan Maha Party,Candidate - Lok Raksha Party,Candidate - Republican Party of India,Candidate - Swarna Bharat Party,Candidate - Samajwadi Party,Candidate - Hindusthan Nirman Dal,Candidate - National Republican Congress,Candidate - Bhartiya Rashtrawadi Party
,,681197,6384538,5703341,1786551,1519777,1139423,702992,651744,651073,219578,160758,36008,33111,27290,26403,21970,21869,18805,18087,15887,13321,8425,7979,7724,6726,6123,5023,4096,3453,3303,3000,2304,2201,1562,1536,1488,1290,1137,591,582,561,492,308,170
1,RATABARI,36221,BIJOY MALAKAR,SAMBHU SING MALLAH,,,SUJIT ROY,,,,NOTA,,,,,,,,SANCHITA SUKLA,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PATHARKANDI,4467,KRISHNENDU PAUL,SACHIN SAHOO,,SABBIR AHMED,SHIHAB UDDIN AHMED,HUMAYUN KABIR,,,NOTA,,,,,,,,BULU CHANDA,,,,,,,,,MD. BAHAR UDDIN,,,,NURUL ISLAM,,,,,,,,JAYANTA SINHA,,,,,
3,KARIMGANJ NORTH,8324,DR MANASH DAS,KAMALAKHYA DEY PURKAYASTHA,,,SAHABUL ISLAM CHOUDHURY,,,,NOTA,,,,,,,,SUJIT KUMAR PAUL,,,,,,,,,AHAD UDDIN,,,,NAZRUL ISLAM CHOUDHURY,,,,,,,,,,GOPAL CHANDRA PAUL,,,
4,KARIMGANJ SOUTH,32487,,SIDDEQUE AHMED,,AZIZ AHMED KHAN,HUSSAIN AHMED,,,,NOTA,,,,,,,,,,,,,,,,PRONAB KUMAR ROY,,,,,,,,,,,,,,,,,,
5,BADARPUR,23948,BISWARUP BHATTACHARJEE,,ABDUL AZIZ,,RIYAJ UDDIN,SAHAB UDDIN,,,NOTA,,,,,,,,,,,,,,,,,NIZAM UDDIN,,,,,,,,,,,,,,,,,
6,HAILAKANDI,23754,MILON DAS,,ZAKIR HUSSAIN LASKAR,,HILAL UDDIN LASKAR,,,,NOTA,,SAFIQUE KAMAL BARLASKAR,,,,,MONUJ MOHAN DEB,SUSHIL PAUL,,,,,,,,,,,,,,,,,,,,,,,,,,
7,KATLICHERRA,12971,SUBRATA KUMAR NATH,SANJEEV ROY,SUZAM UDDIN LASKAR,,LUTHFUR RAHMAN LASKAR,,,,NOTA,,,,,,RAM KUMAR NUNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ALGAPUR,17604,Moon Swarnakar,,Nijam Uddin Choudhury,Aftab Uddin Laskar,Babul Kumar,,,,NOTA,,,,,,,,,,,,,,,,,,,,,Simu Das,,,,,,,,,,,,,
9,SILCHAR,37578,DIPAYAN CHAKRABORTY,TAMAL KANTI BANIK,,,DILIP KUMAR PAUL,,,,NOTA,,,,,,,BISHWAY CHAMAK GOSWAMI,DULALI CHAKRABORTY,,,,,,,,,,,,,,PRASANTA LASKAR,,,,,,,,,,RAJU SINHA,,
10,SONAI,19654,AMINUL HAQUE LASKAR,,KARIM UDDIN BARBHUIYA,,ASHISH HALDAR,,,,NOTA,,M. SANTI KUMAR SINGHA,,,,,,ANJAN KUMAR CHANDA,,,,,,,,,,,,,,,,,,,,,,,ANWAR HUSSAIN LASKAR,,,
11,DHOLAI,20392,PARIMAL SUKLA BAIDYA,KAMAKHYA PRASAD MALA,,,PARIMAL DAS,RAM RATAN DUSAD,,,NOTA,,,,,,,,GOUR CHANDRA DAS,,,,,,,,,,,,,,,,,,,,,,,,,,
