Constituency ID,Constituency_Name,Winning_Margin,Communist Party of India  (Marxist),Indian National Congress,Bharatiya Janata Party,Indian Union Muslim League,Communist Party of India,Independent,Kerala Congress  (M),Kerala Congress,Janata Dal  (Secular),Revolutionary Socialist Party,Bharath Dharma Jana Sena,Nationalist Congress Party,Loktantrik Janta Dal,Twenty 20 Party,Indian National League,None of the Above,Kerala Congress  (Jacob),SOCIAL DEMOCRATIC PARTY OF INDIA,National Secular Conference,Kerala Congress (B),Revolutionary Marxist Party of India,Congress  (Secular),Communist Marxist Party Kerala State Committee,Janadhipathiya Kerala Congress,Bahujan Samaj Party,"Kerala Janapaksham (Secular),",Welfare Party Of India,All India Anna Dravida Munnetra Kazhagam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Democratic Social Justice Party,Anna Democratic Human Rights Movement Party of India,Marxist Communist Party of India (United),Ambedkarite Party of India,New Labour Party,Bahujan Dravida Party,Rashtriya Janata Dal,Indian Christian Secular Party,Communist Party of India (Marxist-Leninist) Red Star,Democratic Human Rights Movement Party,Samajwadi Jan Parishad,Samajwadi Forward Bloc,Shiv Sena,Swaraj India,Kerala Janatha Party,Indian Gandhiyan Party,Akhil Bharat Hindu Mahasabha,National Labour Party,Republican Party of India (A),Secular Democratic Congress,Janata Dal  (United)
,,55073,5288502,5233429,2354468,1723593,1579235,1208419,684363,554115,265789,244388,229931,206130,193010,145664,138587,97695,85056,75566,70704,67276,65093,60313,51441,48748,48379,41851,28479,10376,9367,8888,5882,2433,1018,822,537,511,509,489,460,302,295,289,274,259,225,182,165,115,92,87
1,MANJESHWAR,745,40639,,65013,65758,,197,,,,,,,,,,387,,,,,,,,,,,,,,,251,,,,,,,,,,,,,,,,,,,
2,KASARAGOD,12901,,,50395,63296,,417,,,,,,,,,28323,639,,,,,,,,,679,,,,,,555,,,,,,,,,,,,,,,,,,,
3,UDMA,13322,78664,65342,20360,,,207,,,,,,,,,,434,,,,,,,,,,,,,,,,,194,,,,,,,,,,,,,,,,,
4,KANHANGAD,27139,,57476,21570,,84615,532,,,,,,,,,,637,,775,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,87
5,TRIKARIPUR,26137,86151,,10961,,,362,,60014,,,,,,,,558,,1211,,,,,,,,,817,,,,116,,,,,,,,,,,,,,,,,,,
6,PAYYANNUR,49780,93695,43915,11308,,,341,,,,,,,,,,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,KALLIASSERI,44393,88252,43859,11365,,,274,,,,,,,,,,666,,,,,,,,,,,1169,,,,,,,,,,,,,,,,,,,,,,,
8,TALIPARAMBA,22689,92870,70181,13058,,,508,,,,,,,,,,789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,IRIKKUR,10010,,76764,7825,,,311,66754,,,,,,,,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
