Constituency ID,Constituency_Name,Winning_Margin,Candidate - Communist Party of India  (Marxist),Candidate - Indian National Congress,Candidate - Bharatiya Janata Party,Candidate - Indian Union Muslim League,Candidate - Communist Party of India,Candidate - Independent,Candidate - Kerala Congress  (M),Candidate - Kerala Congress,Candidate - Janata Dal  (Secular),Candidate - Revolutionary Socialist Party,Candidate - Bharath Dharma Jana Sena,Candidate - Nationalist Congress Party,Candidate - Loktantrik Janta Dal,Candidate - Twenty 20 Party,Candidate - Indian National League,Candidate - None of the Above,Candidate - Kerala Congress  (Jacob),Candidate - SOCIAL DEMOCRATIC PARTY OF INDIA,Candidate - National Secular Conference,Candidate - Kerala Congress (B),Candidate - Revolutionary Marxist Party of India,Candidate - Congress  (Secular),Candidate - Communist Marxist Party Kerala State Committee,Candidate - Janadhipathiya Kerala Congress,Candidate - Bahujan Samaj Party,"Candidate - Kerala Janapaksham (Secular),",Candidate - Welfare Party Of India,Candidate - All India Anna Dravida Munnetra Kazhagam,Candidate - SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Candidate - Democratic Social Justice Party,Candidate - Anna Democratic Human Rights Movement Party of India,Candidate - Marxist Communist Party of India (United),Candidate - Ambedkarite Party of India,Candidate - New Labour Party,Candidate - Bahujan Dravida Party,Candidate - Rashtriya Janata Dal,Candidate - Indian Christian Secular Party,Candidate - Communist Party of India (Marxist-Leninist) Red Star,Candidate - Democratic Human Rights Movement Party,Candidate - Samajwadi Jan Parishad,Candidate - Samajwadi Forward Bloc,Candidate - Shiv Sena,Candidate - Swaraj India,Candidate - Kerala Janatha Party,Candidate - Indian Gandhiyan Party,Candidate - Akhil Bharat Hindu Mahasabha,Candidate - National Labour Party,Candidate - Republican Party of India (A),Candidate - Secular Democratic Congress,Candidate - Janata Dal  (United)
,,55073,5288502,5233429,2354468,1723593,1579235,1208419,684363,554115,265789,244388,229931,206130,193010,145664,138587,97695,85056,75566,70704,67276,65093,60313,51441,48748,48379,41851,28479,10376,9367,8888,5882,2433,1018,822,537,511,509,489,460,302,295,289,274,259,225,182,165,115,92,87
1,MANJESHWAR,745,V V RAMESHAN,,K SURENDRAN,A K M ASHRAF,,SURENDRAN M S/o PADMAVATHI M,,,,,,,,,,NOTA,,,,,,,,,,,,,,,PRAVEEN KUMAR S,,,,,,,,,,,,,,,,,,,
2,KASARAGOD,12901,,,ADV K SHREEKANTH,N A NELLIKKUNNU,,NISHANTH KUMAR I B,,,,,,,,,M A LATHEEF,NOTA,,,,,,,,,VIJAYA K P,,,,,,RANJITH RAJ M,,,,,,,,,,,,,,,,,,,
3,UDMA,13322,C H KUNHAMBU,BALAKRISHNAN PERIYE,A VELAYUDHAN,,,RAMESHAN K,,,,,,,,,,NOTA,,,,,,,,,,,,,,,,,GOVINDAN B ALINTHAZE,,,,,,,,,,,,,,,,,
4,KANHANGAD,27139,,P V SURESH,BALRAJ,,E CHANDRASHEKARAN,AUGUSTIN,,,,,,,,,,NOTA,,ABDUL SAMAD. T S/o T KUNHAMU HAJI,,,,,,,,,,,,,RESHMA KARIVEDAKAM,,,,,,,,,,,,,,,,,,,T ABDUL SAMAD S/o T KUNHIKOYA HAJI
5,TRIKARIPUR,26137,M RAJAGOPALAN,,SHIBIN T V,,,JOY JOHN,,M P JOSEPH,,,,,,,,NOTA,,LIYAKATHALI P,,,,,,,,,T MAHESH MASTER,,,,SUDHAN VELLARIKKUND,,,,,,,,,,,,,,,,,,,
6,PAYYANNUR,49780,T  I MADHUSOODANAN,M PRADEEP KUMAR,Adv  K K SREEDHARAN,,,ABHILASH K V,,,,,,,,,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,KALLIASSERI,44393,M VIJIN,ADV. BRIJESH KUMAR,ARUN KAITHAPRAM,,,BRIJESHKUMAR M.  S/o AMBU,,,,,,,,,,NOTA,,,,,,,,,,,FAIZAL MADAYI,,,,,,,,,,,,,,,,,,,,,,,
8,TALIPARAMBA,22689,M V GOVINDAN MASTER,ADV. V P ABDUL RASHEED,A P GANGADHARAN,,,SHIJITH K O P,,,,,,,,,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,IRIKKUR,10010,,Adv. Sajeev Joseph,ANIAMMA TEACHER,,,CHACKO KARIMBIL,SAJI KUTTIYANIMATTAM,,,,,,,,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AZHIKODE,6141,K V Sumesh,,K Ranjith,K M Shaji,,K M SHAJI (MAMBA),,,,,,,,,,NOTA,,ABDUL JABBAR K K,,,,,,,,,,,RESMI RAVI,,,,,,,,,,,,,,,,,,,,,
11,KANNUR,1745,,SATHEESHAN PACHENI,ARCHANA VANDICHAL,,,SATHEESAN P,,,,,,,,,,NOTA,,B SHAMSUDHEEN MOULAVI,,,,RAMACHANDRAN KADANNAPPALLI,,,,,,,,,,,,T K GANESH BABU,,,,,,,,,,,,,,,,
12,DHARMADAM,50123,Pinarayi Vijayan,C. Raghunathan,C. K. Padmanabhan,,,Valayar Bhagyavathi,,,,,,,,,,NOTA,,Basheer Kannadiparamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,THALASSERY,36801,Adv. A. N. SHAMSEER,M. P. ARAVINDAKSHAN,,,,C. O. T. NASEER,,,,,,,,,,NOTA,,,,,,,,,,,SHAMSEER IBRAHIM,,,,,,,,,,,,,,,,,,,,,,,
14,KUTHUPARAMBA,9541,,,C. SADANANDAN MASTER,POTTANKANDI ABDULLA,,MOHANAN KUNHIPARAMBATH MEETHAL,,,,,,,K.P. MOHANAN,,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MATTANNUR,60963,K K SHAILAJA TEACHER,,BIJU ELAKKUZHI,,,AGUSTHY N A,,,,ILLIKKAL AUGUSTHY,,,,,,NOTA,,RAFEEK KEECHERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PERAVOOR,3172,K V Sakkeer Hussain,Adv. Sunny Joseph,Smitha Jayamohan,,,Sakkeer Hussain S/o Hamsa,,,,,,,,,,NOTA,,A C Jalaluddeen,,,,,,,,,,,,,,,,P K Saji,,,,,,,,,,,,,,,John Pallikkamalil,
17,MANANTHAVADY,9282,O.R.KELU,P.K.Jayalakshmi,Palliyara Mukundan,,,Lakshmi,,,,,,,,,,NOTA,,Babitha Sreenu,,,,,,,Vijaya Cheloor,,,,,,,,,,,,,,,,,,,,,,,,,
