Constituency ID,Constituency_Name,Winning_Margin,Candidate - All India N.R. Congress,Candidate - Dravida Munnetra Kazhagam,Candidate - Indian National Congress,Candidate - Bharatiya Janata Party,Candidate - Independent,Candidate - All India Anna Dravida Munnetra Kazhagam,Candidate - Naam Tamilar Katchi,Candidate - Makkal Needhi Maiam,Candidate - None of the Above,Candidate - Communist Party of India,Candidate - Viduthalai Chiruthaigal Katchi,Candidate - Amma Makkal Munnettra Kazagam,Candidate - Desiya Murpokku Dravida Kazhagam,Candidate - Bahujan Samaj Party,Candidate - Indiya Jananayaka Katchi,Candidate - SOCIAL DEMOCRATIC PARTY OF INDIA,Candidate - Communist Party of India  (Marxist),Candidate - Puducherry Development  Party,Candidate - Communist Party of India  (Marxist-Leninist)  (Liberation),Candidate - My India Party,Candidate - Janata Dal  (United),Candidate - Puratchi Bharatham
,,61391,216249,154858,131393,114298,106098,34623,28189,15835,10803,7522,5633,4637,2524,1169,996,711,321,199,158,145,141,60
1,MANNADIPET,2750,,A. KRISHNAN @ A.K. KUMAR,,A. NAMASSIVAYAM,VEERAPPAN,,CHITRA,P. GOPALAKRISHNAN,NOTA,,,C. DHANAVELU,S. MANIKANDAN,"K.K. MATHIVADHANAN, M.B.A., M.Phil.,",,,,,,,,
2,THIRUBHUVANAI,2359,B. KOBIGA,A. MUHILAN,,,P. ANGALANE,,K. RANJIT,DURAI RAMESH,NOTA,,,Dr.K. SILAMBARASAN,T. VINAYAGAMOORTHY,"T. UDAYAKUMAR, MLIS",V. SIVARAMAN,,,,,,,
3,OUSSUDU,1880,,,P. KARTHIKEYAN,AK SAI J SARAVANAN KUMAR,N. AMBIGAPATHY,,GEETHA PRIYA,K. SANKAR,NOTA,,,MUTHALU VENGADESAN,R. BABOU,,M. RAMESH,,,,,,,
4,MANGALAM,2751,DJEACOUMAR .C,SUN. KUMARAVEL,,,P. CANNANE,,B. BHARATHKALAI,M. SUBRAMANI,NOTA,,,M. Ganapathy,S. Patchaiappan,A. Pathimaraj,Manavalan,,,,,,,
5,VILLIANUR,6950,S.V. SUGUMARAN,R. SIVA,,,N. DJEAMOURTHY,,PRAVEENA,A. BANUMATHI,NOTA,,,KUMARAVEL,A. FAZIL,,THIAGU,,,R. RAMPRASATH,,,R. ARUMUGAM @ SARAVANAN,
6,OZHUKARAI,819,N.G. PANNIR SELVAM,,,,M. Sivasankar,,S. PRIYA,R. Pazhanivelan,NOTA,,Angalane @ Deva Pozhilan,EJOUMALE,Gilbert,R. Sheeshapillai,S. Datchanamoorthy,,,V. THANGAMANI,MOTHILAL .S,,S. CHITRAKALA,
7,KADIRGAMAM,12246,K.S.P @ S. RAMESH,,P. Selvanadane,,,,Subasri,,NOTA,,,S. Ganesan,S. Motcharajan,,S. Sathiyavel,,,,,,,
8,INDIRA NAGAR,18531,V. AROUMOUGAME @ AKD,,M. Kannan,,S. Karthigayan,,T. Devika,P. SAKTHIVEL,NOTA,,,D. Mohan,K. Ezhumalai,,D. Ejoumale,,,,,,,
9,THATTANCHAVADY,5456,N. Rangasamy,,,,C. ANUSUYA,,D. Ramesh,R. Rajendhiran,NOTA,K. SETHU @ SETHU SELVAM,,VIMALA SREE. B.,S.T. NARASSINGAM,,R. Shanmugam,,,,,,,
10,KAMARAJ NAGAR,7229,,,M.O.H.F. SHAJAHAN,A. JOHNKUMAR,ANANDARAJ,,N. SHARMILA BEGUM,,NOTA,,,L. MUNISAMY,N. NADARAJAN @ SELVA,,,,,,,,,
11,LAWSPET,5701,,,M. VAITHIANATHAN,V. SAMINATHAN,P. SENTHIL KUMAR,,NIRMAL SINGH,D. SATHIYAMOORTHY,NOTA,,,N. CAMATCHY,A. BOOPALAN,,P.V. GOPI KANNAN,,,,,,,
12,KALAPET,3508,,S. MOUTTOUVEL,,P.M.L. KALYANASUNDARAM,A. SENTHIL @ RAMESH,,K. KAMARAJ,R. CHANDRAMOHAN,NOTA,,,P. KALIAMURTHY,S. HARIHARAN,,,,,,,,,
13,MUTHIALPET,934,,,S. SENTHIL KUMARAN,,J. PRAKASH KUMAR,VAIYAPURI MANIKANDAN,M. FARITHA BEGUM,K. SARAVANAN,NOTA,,,K. MURUGAN,A. ARUNAGIRI,BALAMURUGAN,,,R. SARAVANAN,,,,,
14,RAJ BHAVAN,3732,K. LAKSHMINARAYANAN,S.P. SIVAKUMAR,,,S.K. SUBRAMANIAN,,ANTHONY SHARMILA,S. PARUVADHAVARDHNIE,NOTA,,,G. SATHISHKUMAR,,,,,,,,,,
15,OUPALAM,4780,,ANNIBAL KENNEDY,,,SAMIYAR @ VIJAYAKUMAR BASTE,A. ANBALAGAN,V. DEVIPRIYA,SANTHOSH KUMAR,NOTA,,,P.M.BASKAR,V. SASIKUMAR,JAYAKUMAR,M. KILLIVALAVAN,,,,,,,
16,ORLEAMPETH,2093,,S. GOPAL,,,G. NEHRU @ KUPPUSAMY,OMSAKTHISEKAR,KARUNANITHI,S. SAKTIVEL,NOTA,,,A. SIRAJ @ KANIMOHAMED,R. CADIRESSAN,,K. PURUSHOTHAMAN,,,,,,,J. RAVI @ PURUSHOTHAMAN
17,NELLITHOPE,496,,V. CARTIGUEYANE,,RICHARDS JOHNKUMAR,S PRITHIVIRAJAN,,S SASI KUMAR,P MURUGESAN,NOTA,,,,APR @ A. POOVARAGAVAN,,R PASUPATHY,R ANIFA,,D JENOVIA,,D ARIVUMANI,R ARUMUGAM @ SARAVANAN,
18,MUDALIARPET,4179,,L. SAMBATH,,,S. NATARAJAN,A. BASKAR,M. VELAVAN,M. ARIKRISHNAN,NOTA,,,M. MANIKANDAN,,,E. JEGANADHANE,,,,,,,
19,ARIANKUPPAM,6418,R. BASKAR @ DATCHANAMOURTTY,,T. DJEAMOURTHY,,S KUMARAVELU,,SUNDARAVADIVELU,V RUTHRAKUMARAN,NOTA,,,,LOURDUSAMY,,V INDUMATHY,A MOHAMAD KASSIM,,,,,,
20,MANAVELY,8132,,,R. K. R. ANANTHARAMAN,EMBALAM SELVAM @ R.SELVAM,T ANANDAN,,M S ELANGOVAN,SUNDARAMBAL @ MALARVIZHI,NOTA,,,VEERAPUTHIRAN,V THIRUNAVUKARASU,THAMIZHARASAN,J VEERASEKARAN,,,,,,,
21,EMBALAM,2240,U LAKSHMIKANDHAN,,M CANDASSAMY,,A MURUGAIYAN,,N SUTHA,N SOMANATHAN,NOTA,,,,S. STEEBAN,D. ARVINDHAN,P. VAITHILINGAM,,,,,,,
22,NETTAPAKKAM,6638,P RAJAVELU,,V VIZEAVENY,,C KRISHNAGOPAL,,D GOVURY,B GNANAOLY,NOTA,,,M SELVAM,,M PARANTHAMAN,A VELU,,,,,,T KALYANASUNDARAM,
23,BAHOUR,211,N DHANAVELOU,R SENTHILKUMAR,,,V RUTHIRAMOORTHY,,S GNANAPRAGASH,C DINESH,NOTA,,,P VELMURUGAN,P VELU,,A THIYAGU,,,S BASKARAN,,,,
24,NEDUNGADU,2214,CHANDIRA PRIYANGA,,A. MARIMUTHU,,DR. V. VIGNESWARAN,,V. GEETHA,,NOTA,,,T. RAJENDIRAN,A. GNANASEGARAN,A. ARULPRAKASH,,,,,,,,
25,THIRUNALLAR,1380,,,R. KAMALAKKANNAN,S. RAJASEKARAN,PR. SIVA,,M. SIKKANTHAR  BATSHA,,NOTA,,,DHARPARANIYAM,K. GURU @ SINTHA,,,,,,,,,
26,KARAIKAL NORTH,135,P.R.N. THIRUMURUGAN,,A.V. SUBRAMANIAN,,A. Vengadesh,,ANUSUYA,K. SURESH,NOTA,,,,A. VELUSAMY,,P. ARULANANDHAM,MOHAMED THAMEEM  KANI,,,,,,
27,KARAIKAL SOUTH,12034,,A.M.H. NAZIM,,,A RAMPRASAD,K.A.U.ASSANA MARECAR,S MARIE ANTHUVAN,,NOTA,,,S MOHAMED SEEDIQUE,R JAGATEESAN,,A NEPOLIEAN,,,,,,,
