Constituency ID,Constituency_Name,Winning_Margin,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Indian National Congress,Pattali Makkal Katchi,Bharatiya Janata Party,Makkal Needhi Maiam,Amma Makkal Munnettra Kazagam,Independent,Communist Party of India,Viduthalai Chiruthaigal Katchi,Communist Party of India  (Marxist),None of the Above,Indian Union Muslim League,Desiya Murpokku Dravida Kazhagam,Bahujan Samaj Party,Puthiya Tamilagam,Indiya Jananayaka Katchi,SOCIAL DEMOCRATIC PARTY OF INDIA,Tamil Nadu Ilangyar Katchi,My India Party,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Anaithu Makkal Puratchi Katchi,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,All India Samathuva Makhal Katchi,New Generation People’s Party,Communist Party of India  (Marxist-Leninist)  (Liberation),Anna Dravidar Kazhagam,Desiya Makkal Sakthi Katchi,Naam Indiar Party,Dhesiya Makkal Kazhagam,Nationalist Congress Party,Anaithu Makkal Arasiyal Katchi,Ganasangam Party of India,Anna MGR Dravida Makkal Kalgam,All India Majlis-E-Ittehadul Muslimeen,Ahimsa Socialist Party,Tamilaga Makkal Thannurimai Katchi,Republican Party of India (Athawale),All India Jananayaka Makkal Kazhagam,Tipu Sultan Party,United States of India Party,Samaniya Makkal Nala Katchi,Akhil Bharat Hindu Mahasabha,Naadaalum Makkal Katchi,All India Uzhavargal Uzhaippalargal Katchi,Bahujan Dravida Party,Namadhu Makkal Katchi,Makkal Munnetra Peravai,Desiya Sirupanmayinar Makkal Iyakkam,Shiv Sena,Ambedkarite Party of India,Janata Dal  (Secular),National People's Party,National Democratic Party of South India,Lok Jan Shakti Party,All India Trinamool Congress,India Dravida Makkal Munnetra Katchi,Kongu  Desa  Marumalarchi  Makkal  Katchi,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Tamizhaga Murpokku Makkal Katchi,All India MGR Makkal Munnetra Kazhagam,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Manitha Urimaigal Kalaagam,Makkal Nala Kazhagam,MGR Makkal Katchi,Anaithu Ulaga Tamilargal Munnetra Kalagam,All Pensioner’s Party,Rashtriya Janata Dal,Namathu Kongu Munnetra Kalagam,South India Forward Bloc,Akila India Vallalar Peravai,Nam India Naam Indiyar Katchi,Rashtriya Samaj Paksha,All  India  Pattali  Munnetra Katchi,People's Party of India(secular),"Makkal Sananayaga Kudiyarasu Katchi,",Samata Party,All India Youth Development Party,Ezhuchi Tamilargal Munnetra Kazhagam,Valamaana  Tamizhagam   Katchi,Makkalatchi Katchi,Ulaga Makkal Katchi,Anaithu Makkal Munnetra Kazhagam,Desa Makkal Munnetrak Kazhgam,Dravida Murpokku Makkal Katchi,Ambedkar Political Party,Tamil Telugu National Party,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Samajwadi Party,Tamilnadu Mahatma Gandhi Makkal Katchi,Anna MGR Dravida Munnetra Kazhagam,Ilantamilar Munnani Kazhagam,Tamilnadu Makkal Nalvazhvu Periyakkam,Thamizhaga Munnetra Congress,Jebamani Janata,Anaithindia Samudaya Munnetra Kazhagam,MAKKAL SAKTHI KATCHI,Indhia Kudiarasu Katchi,Vidial Valarchi Perani,Makkal Nalvaazhvuk Katchi,"Makkal Thilagam Munnetra Kazhagam,",Universal Brotherhood Movement,Rashtriya Ulama Council,Hindustan Janta Party,Kamarajar Deseeya Congress,Bhartiya Manavadhikaar Federal Party,Republican Party of India  (Sivaraj),Mahathma Makkal Munnetra Kazhakam
,,2039126,17430100,15390974,3041974,1976527,1758774,1213510,1210337,1085915,643805,504537,457763,390819,345538,222263,200156,101326,39614,39288,28051,22953,11602,7324,7040,6934,6583,5403,5135,4198,4125,4073,3532,3371,3255,3246,3157,3134,2716,2690,2510,2337,2050,1980,1933,1930,1705,1594,1508,1478,1276,1264,1205,1203,1189,1187,1073,970,963,956,943,855,667,622,562,527,519,504,497,482,478,425,404,379,375,361,351,331,295,291,280,268,261,255,235,232,200,197,177,176,168,162,162,160,146,120,116,113,112,112,110,105,104,102,99,82,73,67,63,62,52
1,Gummidipoondi,50938,126452,,11701,,75514,,,,532,,,,1783,,2576,1038,,816,,,,,,,,,,,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ponneri,9689,,84839,19027,94528,,,5394,2832,470,,,,1554,,,1106,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tiruttani,29253,120314,91061,12007,,,,,,889,,,,1665,,3928,717,,353,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Thiruvallur,22701,107709,85008,15028,,,,,1077,388,,,,1872,,,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Poonamallee,94110,149578,,29871,,55468,,11927,8805,448,,,,2867,,,2891,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Avadi,55275,150287,95012,30087,,,,17092,,360,,,,2381,,1911,773,,,,1263,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
7,Maduravoyal,31721,121298,89577,21045,,,,33401,2660,553,,,,2146,,,628,,,,908,,,,,,,,,,,,349,124,,69,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ambattur,42146,114554,72408,22701,,,,22370,2631,807,,,,2358,,,,,,,,,,,,,,,,,,,615,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Madavaram,57071,151485,94414,27453,,,,15877,7104,437,,,,2166,,,1393,,,,,,,,,,,,,465,,,,,,81,,,,,,,,,,114,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Thiruvottiyur,37661,88185,50524,48597,,,,7053,1417,603,,,,1111,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Dr.Radhakrishnan Nagar,42479,95763,53284,20437,,,,11198,1852,557,,,,1704,,,361,,,,,,,,,,,,,,,,,,,,,,,115,,,79,,,,,,,,,34,,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,
12,Perambur,54976,105267,50291,19821,,,,17072,4042,174,,,,1515,,,515,,,,,,,,,,,,,,,,,,,,,,,296,,,,,,,,,,,,,,,,,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Kolathur,70384,105522,35138,11279,,,,14076,1080,681,,,,1529,,,1295,,,,620,,69,,,,257,,,87,,,,,,30,,,,,,,,,,,,41,,,,132,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,116,,,,,,,,,,,,,,
14,Villivakkam,37237,76127,38890,10914,,,,13364,,409,,,,1444,,1094,222,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Thiru-Vi-Ka-Nagar,55013,81727,26714,10921,,,,9710,,214,,,,1046,,1787,355,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,62,
16,Egmore,38768,68832,30064,6276,,,,9990,,492,,,,1176,,1293,361,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Royapuram,27779,64424,36645,7953,,,,8166,1128,205,,,,901,,,180,,,,557,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Harbour,27274,59317,,3357,,,32043,3763,775,247,,,,912,,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Chepauk-Thiruvallikeni,69355,93285,,9193,,23930,,,1873,367,,,,2061,,,723,,4096,,,,,,,,,,,89,,,,112,,,,,,105,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Thousand Lights,32462,71867,,8884,,,39405,11791,1155,231,,,,1385,,,246,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Anna Nagar,27445,80054,52609,10406,,,,17522,1169,158,,,,1545,,,220,,,,408,,56,,,,53,,,,,,,69,,32,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Virugampakkam,18367,74351,55984,10185,,,,16939,,5186,,,,1563,,1585,,,,,,,90,,,,,,,,,,,90,,41,,,,,209,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Saidapet,29408,80194,50786,10717,,,,13454,2081,182,,,,1158,,,274,,,,,,,,,,,,,89,,,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Thiyagarayanagar,137,56035,55898,8284,,,,14567,782,124,,,,1617,,,269,,,,,,,,,,,,,74,,,,88,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,52
25,Mylapore,12633,68392,55759,10124,,,,14904,1118,203,,,,1287,,,413,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,
26,Velachery,4352,,64141,14171,68493,,,23072,1977,282,,,,1742,,,477,,,,750,,,,,,278,,,,,,,63,,,,,,69,,,,,,,,,,,,,,,,,,,,,,87,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Shozhinganallur,35405,171558,136153,38872,,,,30284,,676,,,,3030,,3912,554,,,,,,,,,,,,,,,,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,
28,Alandur,40571,116785,76214,16506,,,,21117,,260,,,,1888,,,,,,1761,1105,,,,,,,,,265,,,,187,,,,,,46,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,
29,Sriperumbudur,10879,,104474,22034,115353,,,8870,3144,6340,,,,2139,,,803,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Pallavaram,37781,126427,88646,21362,,,,20612,,274,,,,1945,,3718,519,202,,,432,171,,,,,,,,525,,,,,,59,,,,,,,,,,,,,,,,,,,,85,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,
31,Tambaram,36824,116840,80016,19494,,,,22530,4207,264,,,,2284,,,317,,,,1351,,73,,,,,,,,,,,199,,,,,,64,,,,,,,,,,,,88,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Chengalpattu,26665,130573,103908,26868,,,,,3069,344,,,,3075,,,,,4146,,,,,,,,,684,,,,,,142,,,,,,,195,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Thiruporur,1947,,,20428,,92007,,8194,7662,367,,93954,,1982,,,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
