Constituency ID,Constituency_Name,Winning_Margin,All India Trinamool Congress,Bharatiya Janata Party,Communist Party of India  (Marxist),Indian National Congress,Independent,Rashtriya Secular Majlis Party,None of the Above,All India Forward Bloc,Bahujan Samaj Party,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Revolutionary Socialist Party,Communist Party of India,AJSU Party,Bahujan Mukti Party,Amra Bangalee,Kamatapur People’s Party (United),Communist Party of India  (Marxist-Leninist)  (Liberation),Purvanchal Mahapanchayat,All India Majlis-E-Ittehadul Muslimeen,Janata Dal  (United),Bharatiya Nyay-Adhikar Raksha Party,Lok Jan Shakti Party,Communist Party of India (Marxist-Leninist) Red Star,Ambedkarite Party of India,SOCIAL DEMOCRATIC PARTY OF INDIA,Indian Unity Centre,Party for Democratic Socialism,Welfare Party Of India,United Socialist Party,Humanity Universal Motion Party,Bahujan Maha Party,National People's Party,"Justice and Development Party,",Republican Party of India (Athawale),Bhartiya Tribal Party,Mulnibasi Party of India,Indian Union Muslim League,Progressive People's Party,West Bengal Socialist Party,Republican Party of India (A),Democratic Socialist Party of India,Jan Sangh Party,Socialist Party (India),National Republic Party Of India,Guru Chand Mukti Morcha,Paradise Party,Hindustani Awam Morcha (Secular),Samajwadi Jan Parishad,Bharateeya Manavadhikar party,Rashtravadi Janata Party,Akhil Bharat Hindu Mahasabha,Right to Recall Party,All India Minorities Front,Lok Samya Party,Sajag Samaj Party,New Democratic Party of India,Revolutionary Socialist Party of India(Marxist),Jamat-E-Seratul Mustakim,Bharatiya Momin Front,Vikas India Party
,,5729559,28471486,22741927,2837276,1739844,947779,813489,643418,297604,233437,224594,126121,118655,61936,45120,33372,18338,17946,11118,10852,10554,7015,6920,6410,6139,4988,4819,4673,4564,4459,4147,3980,3880,3724,3410,3239,2728,2372,2247,2163,2129,2059,1966,1946,1940,1939,1938,1650,1377,1170,1169,819,777,658,498,409,367,260,241,166,154
1,Mekliganj,14685,99338,84653,,,955,,2447,6853,1025,1768,,,,,400,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mathabhanga,26134,87115,113249,7718,,1167,,1443,,,589,,,,,486,1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,COOCHBEHAR UTTAR,14615,105868,120483,,,1379,,1570,11475,,1386,,,,,628,1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cooch Behar Dakshin,4931,86629,91560,,,1485,,1464,10246,1419,1138,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sitalkuchi,17815,107140,124955,6720,,2018,,2743,,,693,,,,,721,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sitai,10112,117908,107796,,3964,2391,,1577,,,1381,,,,,369,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Dinhata,57,115978,116035,,,1387,,1537,6069,,1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Natabari,23440,88303,111743,11839,,1341,,1146,,,1186,,,,,1110,,,,,,,,,,,,,,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tufanganj,31198,83305,114503,,5973,1461,,2069,,,491,,,,,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Kumargram,11001,100973,111974,,,1781,,2718,,,,11253,,,740,,1651,,,,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Kalchini,28576,74528,103104,,5482,2425,,2377,,,,,,,479,,,,,,423,,1164,,,,,,,,,,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Alipurduars,16007,91326,107333,,15651,2351,,1981,,,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
